sample_id,domain,text
ai_01,review,"This restaurant delivers an exceptional dining experience with efficient service, polished presentation, and flavors that consistently satisfy a wide range of preferences."
ai_02,review,"These headphones provide impressive battery performance, reliable wireless connectivity, and a balanced sound profile that makes them a strong option for daily travel."
ai_03,essay,"Public libraries remain essential civic institutions because they expand educational access, reduce information inequality, and strengthen local communities through shared resources."
ai_04,essay,"Online learning environments are most effective when they combine flexibility with structured milestones, interactive feedback, and consistent student engagement."
ai_05,review,"The hotel offers an appealing atmosphere, responsive staff, and comfortable amenities, creating a generally positive experience for short-term guests."
ai_06,essay,"Collaborative assignments can prepare students for professional teamwork by promoting communication, shared problem solving, and accountability across group members."
ai_07,review,"This coffee maker features a streamlined design, fast brewing cycles, and user-friendly maintenance, making it suitable for busy households."
ai_08,essay,"Regular exercise benefits students by improving concentration, supporting emotional regulation, and encouraging healthier academic routines."
ai_09,review,"The game presents a layered narrative, engaging character development, and steady momentum that together create a rewarding entertainment experience."
ai_10,essay,"Part-time employment helps students develop discipline, financial awareness, and practical scheduling habits that support later career readiness."
ai_11,review,"The jacket provides dependable protection from cold weather, combines comfort with durability, and serves as a practical addition to seasonal wardrobes."
ai_12,essay,"Neighborhood parks contribute to community well-being by promoting physical activity, casual social contact, and accessible outdoor recreation."
ai_13,review,"This tablet combines vivid display quality, smooth note-taking performance, and reliable portability, making it a compelling option for everyday productivity."
ai_14,essay,"Public transportation systems become more attractive when they emphasize reliability, clarity of route information, and dependable service frequency."
ai_15,review,"The film delivers strong performances and a memorable opening, although its conclusion condenses several ideas into a comparatively short final sequence."
ai_16,essay,"Tutoring centers support student achievement by creating low-pressure spaces for clarification, guided practice, and individualized academic feedback."
ai_17,review,"This backpack balances comfort, storage efficiency, and practical organization features, making it a strong companion for school or travel."
ai_18,essay,"Remote work can increase efficiency when organizations establish clear expectations, maintain communication standards, and evaluate outcomes consistently."
ai_19,review,"The bakery stands out for high-quality pastries, inviting presentation, and repeat-worthy baked goods that leave a favorable impression."
ai_20,essay,"Volunteering strengthens learning by connecting academic concepts to practical service experiences and visible community needs."
ai_21,review,"This smart speaker offers quick setup, accurate voice recognition, and convenient smart-home integration for everyday use."
ai_22,essay,"History instruction becomes more meaningful when it connects earlier events to present systems, institutions, and social patterns."
ai_23,review,"These running shoes combine immediate comfort, stable cushioning, and lightweight construction, making them attractive for regular training."
ai_24,essay,"Student organizations can improve campus belonging by creating smaller social networks, leadership opportunities, and regular peer interaction."
