direction,rank,term,weight
ai_indicator,1,by,1.1536
ai_indicator,2,a,1.0806
ai_indicator,3,experience,0.8783
ai_indicator,4,with,0.869
ai_indicator,5,practical,0.8174
ai_indicator,6,strong,0.8008
ai_indicator,7,it,0.7567
ai_indicator,8,making,0.7567
ai_indicator,9,information,0.736
ai_indicator,10,dependable,0.6839
ai_indicator,11,promoting,0.682
ai_indicator,12,short,0.6709
ai_indicator,13,efficiency,0.6693
ai_indicator,14,service,0.6631
ai_indicator,15,feedback,0.6545
human_indicator,1,the,-2.3518
human_indicator,2,i,-1.3761
human_indicator,3,but,-1.3177
human_indicator,4,are,-1.0948
human_indicator,5,more,-0.9749
human_indicator,6,space,-0.9701
human_indicator,7,is,-0.9453
human_indicator,8,because,-0.9212
human_indicator,9,enough,-0.8375
human_indicator,10,in,-0.8188
human_indicator,11,only,-0.7892
human_indicator,12,use,-0.7256
human_indicator,13,how,-0.6896
human_indicator,14,clearly,-0.6704
human_indicator,15,than,-0.6558
