model,split,sample_id,true_label,predicted_label,predicted_probability_ai,clean_predicted_label,clean_probability_ai,flip_from_clean,new_error_under_paraphrase,clean_text,text
embedding_avg_nn,heavy,ai_24,1,0,0.4999,0,0.5,False,False,"Student organizations can improve campus belonging by creating smaller social networks, leadership opportunities, and regular peer interaction.","Viewed more carefully, Student organizations frequently can improve in practice campus belonging by creating smaller social networks, leadership opportunities, while regular peer interaction."
embedding_avg_nn,heavy,human_20,0,1,0.5,1,0.5,False,False,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.
embedding_avg_nn,heavy,human_22,0,1,0.5005,1,0.5005,False,False,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.
embedding_avg_nn,light,human_20,0,1,0.5,1,0.5,False,False,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.
embedding_avg_nn,light,human_22,0,1,0.5005,1,0.5005,False,False,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.
embedding_avg_nn,moderate,ai_23,1,0,0.5,1,0.5003,True,True,"These running shoes combine immediate comfort, stable cushioning, and lightweight construction, making them attractive for regular training.","In practice, These running shoes combine immediate comfort, stable cushioning, while also lightweight construction, making them attractive for regular training."
embedding_avg_nn,moderate,ai_24,1,0,0.4998,0,0.5,False,False,"Student organizations can improve campus belonging by creating smaller social networks, leadership opportunities, and regular peer interaction.","In practice, Student organizations often can improve noticeably campus belonging by creating smaller social networks, leadership opportunities, while also regular peer interaction."
embedding_avg_nn,moderate,human_20,0,1,0.5,1,0.5,False,False,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.,Volunteering helps students connect classroom ideas to real needs in their communities. That connection often makes academic material feel less abstract.
embedding_avg_nn,moderate,human_22,0,1,0.5005,1,0.5005,False,False,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.,History courses are more engaging when instructors connect past events to present-day institutions instead of treating facts as isolated dates.
tfidf_logreg,heavy,ai_19,1,0,0.4607,1,0.573,True,True,"The bakery stands out for high-quality pastries, inviting presentation, and repeat-worthy baked goods that leave a favorable impression.","Viewed more carefully, The bakery stands out for high-quality pastries, inviting presentation, while repeat-worthy baked goods that leave a favorable impression."
tfidf_logreg,heavy,ai_22,1,0,0.4989,1,0.5799,True,True,"History instruction becomes more meaningful when it connects earlier events to present systems, institutions, and social patterns.","Viewed more carefully, History instruction becomes more meaningful when it connects earlier events to present systems, institutions, while social patterns."
tfidf_logreg,heavy,human_24,0,1,0.5387,1,0.5387,False,False,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.
tfidf_logreg,light,human_24,0,1,0.5387,1,0.5387,False,False,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.
tfidf_logreg,moderate,ai_19,1,0,0.4704,1,0.573,True,True,"The bakery stands out for high-quality pastries, inviting presentation, and repeat-worthy baked goods that leave a favorable impression.","In practice, The bakery stands out for high-quality pastries, inviting presentation, while also repeat-worthy baked goods that leave a favorable impression."
tfidf_logreg,moderate,ai_22,1,0,0.4954,1,0.5799,True,True,"History instruction becomes more meaningful when it connects earlier events to present systems, institutions, and social patterns.","In practice, History instruction becomes more meaningful when it connects earlier events to present systems, institutions, while also social patterns."
tfidf_logreg,moderate,human_24,0,1,0.5387,1,0.5387,False,False,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.,Student organizations can strengthen belonging on campus because they give people smaller communities inside a large university environment.
